Angle	Frequency	m	p
16	80	6.9297952756	0.0793538601221
24	80	5.40815657885	0.0699866623725
32	80	4.35711471641	0.0372786692812
40	80	3.69450494186	0.0140217621579
48	80	3.18491019046	0.0507358509936
56	80	2.74723355258	0.00346833331117
64	80	2.42473716777	0.0489616043905
72	80	2.2623700637	-0.048517563669
80	80	1.95722383907	0.0111096096856
96	80	1.679250853	0.00818101829392
112	80	1.45128427515	-0.00805192989442
128	80	1.22689082988	0.0182212631325
144	80	1.10459862511	0.00725787171055
160	80	0.990532850015	-0.0143108544247
180	80	0.86543957391	0.0112066835257

0.5	96	9.99271085571	-0.00025633468297
1	96	9.97601168057	8.00458580688e-05
2	96	9.91301410795	-0.00524130041491
4	96	9.63252056305	0.0155779762131
8	96	8.71963187637	0.0326685410391
16	96	6.59532510872	0.0325047077107
24	96	5.13847972604	-0.0151410440994
32	96	4.15873338968	-0.0532584206571
40	96	3.43424715589	0.00476790602013
48	96	2.98259965096	-0.0390577730091
56	96	2.54916716018	-0.00733006085836
64	96	2.28316216838	-0.0131514347372
72	96	2.01307088528	0.00593746806236
80	96	1.84719631595	-0.00122067455429
96	96	1.55463746946	-0.0107240893756
112	96	1.34551328934	-0.0375226303954
128	96	1.15222154302	-0.0117669855961
144	96	1.016839823	-0.000340172186821
160	96	0.906497226976	0.0106403341598
180	96	0.795215180909	0.00508179606064

0.5	112	9.99145002885	-0.000245780934887
1	112	9.9714823251	-0.000914801087602
2	112	9.89475786933	-0.00936492330326
4	112	9.58509640214	0.00433976935433
8	112	8.55443380274	-0.0817213650657
16	112	6.10506382334	0.166945388182
24	112	4.82270582127	-0.0597306440032
32	112	3.80163313074	0.0283329581194
40	112	3.18045404859	-0.0149233245415
48	112	2.72015722693	-0.00227786553766
56	112	2.32082104805	0.0413593105071
64	112	2.04602071012	0.0425331048367
72	112	1.81903042623	0.0489602257621
80	112	1.67013613193	0.0208276747568
96	112	1.38631619263	-0.00332025597085
112	112	1.20289520703	-0.00519001873556
128	112	1.04219006251	-0.00593440218038
144	112	0.919225671215	0.00551513603788
160	112	0.819005379146	0.000314108296353
180	112	0.728282501237	0.00903072383792

0.5	128	9.99046394606	0.000166541822354
1	128	9.96804145855	0.0012104585808
2	128	9.87778226524	-0.00160973544875
4	128	9.54859196306	-0.0352100647175
8	128	8.45112422457	-0.0946140737745
16	128	6.06444992504	-0.0679558156661
24	128	4.58362485158	0.00148770131568
32	128	3.62077724884	-0.00549821423735
40	128	3.02669215492	-0.0343618691278
48	128	2.57503868729	-0.00476702810985
56	128	2.26563903263	-0.0157616294046
64	128	1.95071507574	0.0438046873155
72	128	1.76227035015	0.00347821651757
80	128	1.62501137193	-0.0370169629946
96	128	1.32351996074	-0.00302185910097
112	128	1.15039029194	-0.0147544874705
128	128	0.987641013763	-0.0136167659183
144	128	0.873063949646	0.00654033111413
160	128	0.788399494458	-0.00409787278006
180	128	0.694893840473	-0.00527757056513

0.5	160	9.98976496226	-0.000339299922794
1	160	9.96269800517	-2.12273951127e-05
2	160	9.86851733566	-0.0122322885228
4	160	9.46765090423	-0.00560205231177
8	160	8.16871177745	0.0678005727823
16	160	5.67465549865	0.172478836963
24	160	4.33974977623	-0.0393008694652
32	160	3.5236283741	-0.112800371677
40	160	2.81041098037	0.00293276718332
48	160	2.42967763487	-0.0141994769827
56	160	2.07651915864	0.018297585272
64	160	1.89946566297	-0.0582029103972
72	160	1.66197005484	-0.00352973533637
80	160	1.52113574366	-0.038757891099
96	160	1.25396269857	-0.0143225305414
112	160	1.04461981727	0.0194067276643
128	160	0.938622796332	-0.0223778404719
144	160	0.820141134527	-0.00626335929179
160	160	0.719840126	0.00548866560165
180	160	0.651221671809	-0.00420615716654

0.5	192	9.9877988638	-2.9432520549e-06
1	192	9.95587565485	-0.000252525097798
2	192	9.83085090257	0.0130337145519
4	192	9.39991716982	-0.024875362809
8	192	7.94815196409	0.0452711029912
16	192	5.44483543776	0.0785193052204
24	192	4.09046497037	0.00571275757984
32	192	3.30238942563	-0.104289906451
40	192	2.64435912601	0.020194503907
48	192	2.24207188957	0.0158435555685
56	192	1.95565788571	-0.00883912704089
64	192	1.72760034998	0.00807828447765
72	192	1.56351286539	-0.035496769616
80	192	1.39020264287	0.0122672238909
96	192	1.14816081676	0.00567054357377
112	192	0.988219646737	-0.00148856941995
128	192	0.875164691446	-0.023393421566
144	192	0.772161947875	-0.0225419315391
160	192	0.697255781874	-0.0242492938173
180	192	0.610297418011	-0.00620364803714

0.5	224	9.9859169334	-0.000107582307365
1	224	9.94985903988	0.00112002989715
2	224	9.79818352539	0.00951997857972
4	224	9.22749171184	0.0487327528604
8	224	7.6038757053	0.0853980585241
16	224	5.22384026592	-0.0771725994799
24	224	3.82279016491	-0.0245705086552
32	224	2.94680402355	0.0672164717724
40	224	2.5122432977	-0.031884525881
48	224	2.05744389177	0.0488541888636
56	224	1.780678696	0.0186553974283
